house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
2 BHK,Apartment ,1050,Mira Road East,Mumbai,30000,2,0,Unfurnished
4 BHK,Apartment ,2300,Mira Road East,Mumbai,48000,4,0,Furnished
1 BHK,Apartment ,690,Bhayandar East,Mumbai,26000,2,0,Unfurnished
2 BHK,Apartment ,1050,Powai,Mumbai,58000,2,0,Semi-Furnished
2 BHK,Apartment ,1200,Mahalaxmi,Mumbai,130000,2,0,Unfurnished
2 BHK,Apartment ,1050,Powai,Mumbai,58000,2,0,Semi-Furnished
2 BHK,Apartment ,1050,Andheri West,Mumbai,58000,2,0,Unfurnished
1 BHK,Apartment ,500,Lower Parel,Mumbai,50000,2,0,Furnished
1 BHK,Apartment ,500,Lower Parel,Mumbai,50000,2,0,Unfurnished
2 BHK,Apartment ,1050,Borivali West,Mumbai,43000,2,0,Unfurnished
3 BHK,Apartment ,1150,Chembur,Mumbai,75000,3,0,Semi-Furnished
1 BHK,Apartment ,544,Goregaon East,Mumbai,17500,1,0,Semi-Furnished
1 BHK,Apartment ,650,Dombivali East,Mumbai,7500,2,0,Unfurnished
1 BHK,Apartment ,650,Dombivali East,Mumbai,7500,2,0,Unfurnished
3 BHK,Apartment ,1668,Goregaon East,Mumbai,38000,2,0,Unfurnished
2 BHK,Apartment ,963,Dombivali,Mumbai,28000,2,0,Furnished
2 BHK,Apartment ,905,Seawoods,Mumbai,47000,2,0,Semi-Furnished
2 BHK,Apartment ,850,Seawoods,Mumbai,50000,2,0,Semi-Furnished
2 BHK,Apartment ,1150,Seawoods,Mumbai,44000,2,0,Semi-Furnished
2 BHK,Apartment ,1150,Seawoods,Mumbai,39000,2,0,Semi-Furnished
2 BHK,Apartment ,905,Seawoods,Mumbai,31000,2,0,Unfurnished
2 BHK,Apartment ,890,Seawoods,Mumbai,29000,2,0,Unfurnished
2 BHK,Apartment ,1166,Seawoods,Mumbai,55000,2,0,Unfurnished
2 BHK,Apartment ,970,Seawoods,Mumbai,59000,2,0,Semi-Furnished
2 BHK,Apartment ,1200,Koper Khairane,Mumbai,35000,1,0,Furnished
2 BHK,Apartment ,1000,Kandivali East,Mumbai,55000,2,0,Semi-Furnished
3 BHK,Apartment ,1400,Malad East,Mumbai,80000,3,0,Furnished
2 BHK,Apartment ,1100,Virar,Mumbai,15500,2,0,Furnished
2 BHK,Apartment ,980,Koproli,Mumbai,8500,2,0,Unfurnished
2 BHK,Apartment ,1050,Thane West,Mumbai,48000,2,0,Semi-Furnished
1 BHK,Apartment ,640,Kalyan East,Mumbai,8500,2,0,Semi-Furnished
1 BHK,Apartment ,600,Naigaon East,Mumbai,8000,1,0,Semi-Furnished
1 BHK,Apartment ,610,Naigaon East,Mumbai,7500,1,0,Semi-Furnished
3 BHK,Apartment ,2050,Goregaon West,Mumbai,95000,3,0,Semi-Furnished
1 BHK,Apartment ,790,Virar,Mumbai,8500,2,0,Semi-Furnished
1 BHK,Apartment ,640,Dombivali East,Mumbai,15000,1,0,Semi-Furnished
1 BHK,Apartment ,500,Dombivali East,Mumbai,7000,1,0,Unfurnished
2 BHK,Apartment ,890,Andheri East,Mumbai,65000,2,0,Furnished
2 BHK,Apartment ,850,Naigaon East,Mumbai,12500,2,0,Semi-Furnished
3 BHK,Apartment ,1300,Parel,Mumbai,150000,2,0,Furnished
2 BHK,Apartment ,965,Vasai,Mumbai,10000,2,0,Semi-Furnished
1 BHK,Apartment ,665,Vasai,Mumbai,9000,1,0,Semi-Furnished
2 BHK,Apartment ,985,Girgaon,Mumbai,14000,2,0,Semi-Furnished
1 BHK,Apartment ,665,Vasai,Mumbai,9000,1,0,Semi-Furnished
1 BHK,Apartment ,665,Vasai,Mumbai,9000,1,0,Semi-Furnished
2 BHK,Apartment ,900,Andheri West,Mumbai,65000,2,0,Unfurnished
1 BHK,Apartment ,550,Andheri West,Mumbai,45000,1,0,Semi-Furnished
2 BHK,Apartment ,800,Andheri West,Mumbai,63000,2,0,Semi-Furnished
2 BHK,Apartment ,900,Andheri West,Mumbai,60000,2,0,Unfurnished
2 BHK,Apartment ,850,Andheri West,Mumbai,65000,2,0,Semi-Furnished
2 BHK,Apartment ,850,Andheri West,Mumbai,63000,2,0,Semi-Furnished
