house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
1 BHK,Apartment ,600,Wadgaon Sheri,Pune,15000,1,0,Unfurnished
1 BHK,Apartment ,550,Yerawada,Pune,13000,1,0,Unfurnished
1 BHK,Apartment ,568,Chinchwad,Pune,13000,1,0,Semi-Furnished
2 BHK,Apartment ,1000,Vishrantwadi,Pune,23000,2,0,Semi-Furnished
1 RK,Studio Apartment,500,Kalyani Nagar,Pune,20000,1,0,Semi-Furnished
1 BHK,Apartment ,600,Wadgaon Sheri,Pune,15000,1,0,Unfurnished
2 BHK,Apartment ,1000,Wadgaon Sheri,Pune,35000,2,0,Furnished
1 BHK,Apartment ,550,Vishrantwadi,Pune,16000,1,0,Furnished
2 BHK,Apartment ,2500,Chinchwad,Pune,25000,2,0,Furnished
1 BHK,Apartment ,610,Chinchwad,Pune,16000,2,0,Furnished
1 BHK,Apartment ,750,Koregaon Park,Pune,24000,1,0,Semi-Furnished
2 BHK,Apartment ,1200,Kharadi,Pune,26000,2,0,Unfurnished
2 BHK,Apartment ,1200,Kharadi,Pune,26000,2,0,Unfurnished
4 BHK,Apartment ,2900,Baner,Pune,100000,4,0,Semi-Furnished
2 BHK,Apartment ,1217,Hinjewadi,Pune,26000,2,0,Semi-Furnished
3 BHK,Apartment ,1650,Sus,Pune,24000,2,0,Unfurnished
3 BHK,Apartment ,1450,Wagholi,Pune,34000,3,0,Semi-Furnished
1 BHK,Apartment ,750,Bavdhan,Pune,16000,1,0,Unfurnished
2 BHK,Apartment ,1200,Kharadi,Pune,24000,2,0,Semi-Furnished
3 BHK,Apartment ,850,Hinjewadi,Pune,19000,3,0,Unfurnished
3 BHK,Apartment ,1500,Hadapsar,Pune,41000,3,0,Furnished
3 BHK,Apartment ,1000,Kharadi,Pune,33000,3,0,Semi-Furnished
1 BHK,Apartment ,630,Hadapsar,Pune,14000,1,0,Semi-Furnished
3 BHK,Apartment ,1075,Viman Nagar,Pune,34000,3,0,Semi-Furnished
3 BHK,Apartment ,1900,Wanowrie,Pune,31000,3,0,Semi-Furnished
